email,create_count,delete_count,read_count,update_count
ASgBJgzpZ@gmail.com,0,5,5,3
DAyCRBGLXvcxn@ya.ru,2,3,3,5
GMbKMLqgg@mail.ru,0,5,5,0
HJPGbbfgmG@mail.ru,4,4,1,6
HQltxMUxZicHTn@gmail.com,4,2,6,1
HaqMwydQvRM@ya.ru,5,4,2,4
HwNTLMUJFI@gmail.com,4,2,1,5
IVUiUo@gmail.com,4,5,5,1
MiPjN@mail.ru,8,4,3,4
MtiGsnBcMppNbg@mail.ru,4,4,3,2
NNDRekyHDorkyX@gmail.com,4,2,6,3
NZhYIDNgTUst@ya.ru,3,2,3,3
OfpqfmZTqq@mail.ru,2,7,4,1
PgAScW@gmail.com,2,6,3,1
PwjeZmgKphlpw@ya.ru,1,1,4,1
QGXZG@ya.ru,3,4,5,3
RTXdPxxLuerMRD@ya.ru,2,3,3,5
TodRvU@ya.ru,4,4,1,3
UiVwWpeHVFbWNA@ya.ru,2,3,4,2
VSyBdkkTOnXuCV@ya.ru,2,8,3,5
VUFsBayp@gmail.com,8,5,1,2
WAYVrrT@mail.ru,4,7,6,3
ZVWvfSjKkgg@ya.ru,4,6,2,3
bCSAMDUKgDdx@mail.ru,3,6,5,6
bkLAzb@mail.ru,2,3,1,2
ceuNmV@mail.ru,7,5,8,6
dGuVCjzVQ@gmail.com,5,5,3,3
dIPfBj@gmail.com,2,6,5,5
dneWuEkKB@gmail.com,6,5,6,3
fWUIvoaKzELMA@gmail.com,3,5,1,1
kGpAHxRVWXVUEd@mail.ru,2,1,1,3
kScSUEdbUWv@mail.ru,4,5,2,3
lPdtrnuq@gmail.com,3,2,3,5
mFCikwuT@ya.ru,4,3,6,3
mxzOfPcPy@gmail.com,3,5,1,3
nrTyrKrzk@ya.ru,1,4,1,6
oZfEirXmvYI@mail.ru,3,3,2,2
pQKlFEG@gmail.com,4,4,3,2
peSqLCsJ@ya.ru,3,1,4,4
qnMUtKKyQnHWE@gmail.com,2,4,7,5
reMvnpyac@gmail.com,7,6,5,3
rlAfbfbqhbfLz@gmail.com,3,4,2,3
tgnhihUWUkb@ya.ru,3,3,4,1
updRM@ya.ru,0,5,1,2
vDnqOlKpNHzYQ@mail.ru,4,4,2,4
vlMBjAG@ya.ru,2,6,3,3
wlQvxaZEl@gmail.com,1,3,2,4
wtwGqhz@gmail.com,4,3,8,3
xSihUcTBI@ya.ru,2,1,3,4
zTtICQ@ya.ru,7,5,5,3
