email,create_count,delete_count,read_count,update_count
ASgBJgzpZ@gmail.com,1,4,5,3
DAyCRBGLXvcxn@ya.ru,0,3,2,5
GMbKMLqgg@mail.ru,0,4,6,1
HJPGbbfgmG@mail.ru,4,5,2,5
HQltxMUxZicHTn@gmail.com,6,2,6,1
HaqMwydQvRM@ya.ru,8,3,2,4
HwNTLMUJFI@gmail.com,2,2,1,5
IVUiUo@gmail.com,3,4,5,0
MiPjN@mail.ru,7,3,2,4
MtiGsnBcMppNbg@mail.ru,4,4,2,2
NNDRekyHDorkyX@gmail.com,3,1,6,4
NZhYIDNgTUst@ya.ru,4,2,2,3
OfpqfmZTqq@mail.ru,2,7,3,1
PgAScW@gmail.com,2,5,4,1
PwjeZmgKphlpw@ya.ru,1,1,5,4
QGXZG@ya.ru,5,5,5,3
RTXdPxxLuerMRD@ya.ru,2,3,2,6
TodRvU@ya.ru,3,3,1,4
UiVwWpeHVFbWNA@ya.ru,4,4,4,2
VSyBdkkTOnXuCV@ya.ru,2,8,2,4
VUFsBayp@gmail.com,8,4,1,2
WAYVrrT@mail.ru,4,8,4,3
ZVWvfSjKkgg@ya.ru,4,6,3,4
bCSAMDUKgDdx@mail.ru,2,6,5,8
bkLAzb@mail.ru,1,4,0,2
ceuNmV@mail.ru,5,5,8,6
dGuVCjzVQ@gmail.com,4,7,2,3
dIPfBj@gmail.com,2,6,2,5
dneWuEkKB@gmail.com,7,7,4,3
fWUIvoaKzELMA@gmail.com,3,6,1,3
kGpAHxRVWXVUEd@mail.ru,1,1,2,5
kScSUEdbUWv@mail.ru,3,3,2,3
lPdtrnuq@gmail.com,4,2,3,4
mFCikwuT@ya.ru,4,4,3,4
mxzOfPcPy@gmail.com,3,5,3,4
nrTyrKrzk@ya.ru,1,3,1,6
oZfEirXmvYI@mail.ru,4,2,4,2
pQKlFEG@gmail.com,3,4,3,2
peSqLCsJ@ya.ru,4,1,4,6
qnMUtKKyQnHWE@gmail.com,3,6,6,4
reMvnpyac@gmail.com,7,6,6,3
rlAfbfbqhbfLz@gmail.com,3,5,2,3
tgnhihUWUkb@ya.ru,3,2,4,2
updRM@ya.ru,1,4,1,2
vDnqOlKpNHzYQ@mail.ru,3,3,3,6
vlMBjAG@ya.ru,3,6,3,2
wlQvxaZEl@gmail.com,2,2,5,4
wtwGqhz@gmail.com,5,3,6,2
xSihUcTBI@ya.ru,2,0,2,3
zTtICQ@ya.ru,5,5,5,1
