email,create_count,delete_count,read_count,update_count
ASgBJgzpZ@gmail.com,0,1,1,1
DAyCRBGLXvcxn@ya.ru,2,0,1,0
GMbKMLqgg@mail.ru,0,1,0,0
HJPGbbfgmG@mail.ru,0,1,0,1
HQltxMUxZicHTn@gmail.com,0,0,1,0
HaqMwydQvRM@ya.ru,0,1,0,0
HwNTLMUJFI@gmail.com,3,0,1,1
IVUiUo@gmail.com,1,1,1,1
MiPjN@mail.ru,1,2,2,0
MtiGsnBcMppNbg@mail.ru,0,0,1,0
NNDRekyHDorkyX@gmail.com,1,1,0,0
NZhYIDNgTUst@ya.ru,0,0,1,0
OfpqfmZTqq@mail.ru,0,0,1,0
PgAScW@gmail.com,0,1,0,0
RTXdPxxLuerMRD@ya.ru,0,1,1,0
TodRvU@ya.ru,1,1,0,0
VSyBdkkTOnXuCV@ya.ru,1,0,1,1
VUFsBayp@gmail.com,0,2,0,0
WAYVrrT@mail.ru,0,0,2,0
bCSAMDUKgDdx@mail.ru,1,0,2,0
bkLAzb@mail.ru,1,1,1,0
ceuNmV@mail.ru,2,0,1,0
dGuVCjzVQ@gmail.com,1,0,1,1
dIPfBj@gmail.com,0,1,3,0
dneWuEkKB@gmail.com,0,0,2,1
kGpAHxRVWXVUEd@mail.ru,1,0,0,0
kScSUEdbUWv@mail.ru,1,2,0,0
lPdtrnuq@gmail.com,0,0,0,1
mFCikwuT@ya.ru,0,1,3,0
mxzOfPcPy@gmail.com,1,0,0,0
nrTyrKrzk@ya.ru,0,2,0,0
oZfEirXmvYI@mail.ru,0,1,0,0
pQKlFEG@gmail.com,1,1,0,0
qnMUtKKyQnHWE@gmail.com,0,0,1,2
reMvnpyac@gmail.com,2,0,0,0
rlAfbfbqhbfLz@gmail.com,1,0,0,1
tgnhihUWUkb@ya.ru,0,1,0,0
updRM@ya.ru,0,1,0,0
vDnqOlKpNHzYQ@mail.ru,1,1,0,0
vlMBjAG@ya.ru,0,0,0,1
wlQvxaZEl@gmail.com,0,1,0,0
wtwGqhz@gmail.com,0,0,2,1
xSihUcTBI@ya.ru,0,1,1,1
zTtICQ@ya.ru,2,0,1,2
