email,create_count,delete_count,read_count,update_count
ASgBJgzpZ@gmail.com,1,0,1,1
GMbKMLqgg@mail.ru,0,0,1,1
HJPGbbfgmG@mail.ru,0,2,1,0
HQltxMUxZicHTn@gmail.com,2,0,1,0
HaqMwydQvRM@ya.ru,3,0,0,0
HwNTLMUJFI@gmail.com,1,0,1,1
IVUiUo@gmail.com,0,0,1,0
MiPjN@mail.ru,0,1,1,0
NNDRekyHDorkyX@gmail.com,0,0,0,1
NZhYIDNgTUst@ya.ru,1,0,0,0
PgAScW@gmail.com,0,0,1,0
PwjeZmgKphlpw@ya.ru,0,0,1,3
QGXZG@ya.ru,2,1,0,0
RTXdPxxLuerMRD@ya.ru,0,1,0,1
TodRvU@ya.ru,0,0,0,1
UiVwWpeHVFbWNA@ya.ru,2,1,0,0
VSyBdkkTOnXuCV@ya.ru,1,0,0,0
VUFsBayp@gmail.com,0,1,0,0
WAYVrrT@mail.ru,0,1,0,0
ZVWvfSjKkgg@ya.ru,0,0,1,1
bCSAMDUKgDdx@mail.ru,0,0,2,2
bkLAzb@mail.ru,0,2,0,0
ceuNmV@mail.ru,0,0,1,0
dGuVCjzVQ@gmail.com,0,2,0,1
dIPfBj@gmail.com,0,1,0,0
dneWuEkKB@gmail.com,1,2,0,1
fWUIvoaKzELMA@gmail.com,0,1,0,2
kGpAHxRVWXVUEd@mail.ru,0,0,1,2
lPdtrnuq@gmail.com,1,0,0,0
mFCikwuT@ya.ru,0,2,0,1
mxzOfPcPy@gmail.com,1,0,2,1
nrTyrKrzk@ya.ru,0,1,0,0
oZfEirXmvYI@mail.ru,1,0,2,0
pQKlFEG@gmail.com,0,1,0,0
peSqLCsJ@ya.ru,1,0,0,2
qnMUtKKyQnHWE@gmail.com,1,2,0,1
reMvnpyac@gmail.com,2,0,1,0
rlAfbfbqhbfLz@gmail.com,1,1,0,1
tgnhihUWUkb@ya.ru,0,0,0,1
updRM@ya.ru,1,0,0,0
vDnqOlKpNHzYQ@mail.ru,0,0,1,2
vlMBjAG@ya.ru,1,0,0,0
wlQvxaZEl@gmail.com,1,0,3,0
wtwGqhz@gmail.com,1,0,0,0
zTtICQ@ya.ru,0,0,1,0
