email,create_count,delete_count,read_count,update_count
ASgBJgzpZ@gmail.com,0,1,0,0
DAyCRBGLXvcxn@ya.ru,0,1,0,0
GMbKMLqgg@mail.ru,0,1,1,0
HJPGbbfgmG@mail.ru,0,0,1,2
HQltxMUxZicHTn@gmail.com,1,0,1,0
HaqMwydQvRM@ya.ru,2,1,0,0
HwNTLMUJFI@gmail.com,0,1,0,1
IVUiUo@gmail.com,1,0,2,0
MiPjN@mail.ru,0,0,0,1
MtiGsnBcMppNbg@mail.ru,0,1,2,2
NNDRekyHDorkyX@gmail.com,0,0,2,0
NZhYIDNgTUst@ya.ru,0,0,1,1
OfpqfmZTqq@mail.ru,1,1,0,0
PgAScW@gmail.com,1,2,1,0
PwjeZmgKphlpw@ya.ru,1,0,0,0
QGXZG@ya.ru,1,1,0,0
RTXdPxxLuerMRD@ya.ru,1,1,1,0
UiVwWpeHVFbWNA@ya.ru,1,0,0,1
VUFsBayp@gmail.com,0,1,0,1
WAYVrrT@mail.ru,0,0,1,1
ZVWvfSjKkgg@ya.ru,2,1,0,0
bCSAMDUKgDdx@mail.ru,1,1,2,1
ceuNmV@mail.ru,1,1,0,2
dIPfBj@gmail.com,1,1,2,4
dneWuEkKB@gmail.com,0,3,1,1
kGpAHxRVWXVUEd@mail.ru,0,0,1,2
kScSUEdbUWv@mail.ru,0,0,0,1
lPdtrnuq@gmail.com,0,0,0,1
mFCikwuT@ya.ru,1,0,2,1
mxzOfPcPy@gmail.com,1,0,0,1
nrTyrKrzk@ya.ru,1,1,0,0
qnMUtKKyQnHWE@gmail.com,0,0,2,0
reMvnpyac@gmail.com,2,1,0,0
rlAfbfbqhbfLz@gmail.com,1,1,1,0
tgnhihUWUkb@ya.ru,0,0,1,0
updRM@ya.ru,0,1,0,0
wlQvxaZEl@gmail.com,0,1,0,2
xSihUcTBI@ya.ru,0,0,0,1
zTtICQ@ya.ru,2,0,1,0
