email,create_count,delete_count,read_count,update_count
ASgBJgzpZ@gmail.com,0,0,0,1
DAyCRBGLXvcxn@ya.ru,0,1,0,1
GMbKMLqgg@mail.ru,0,1,0,0
HJPGbbfgmG@mail.ru,0,1,0,1
HaqMwydQvRM@ya.ru,0,1,0,1
HwNTLMUJFI@gmail.com,0,0,0,2
IVUiUo@gmail.com,1,1,0,0
MiPjN@mail.ru,1,1,0,2
NNDRekyHDorkyX@gmail.com,1,0,1,1
NZhYIDNgTUst@ya.ru,2,1,1,1
OfpqfmZTqq@mail.ru,0,1,1,0
PgAScW@gmail.com,0,1,0,0
PwjeZmgKphlpw@ya.ru,0,1,0,0
QGXZG@ya.ru,0,1,1,1
RTXdPxxLuerMRD@ya.ru,1,0,0,1
TodRvU@ya.ru,0,1,0,1
VSyBdkkTOnXuCV@ya.ru,0,3,2,0
VUFsBayp@gmail.com,2,0,0,0
WAYVrrT@mail.ru,0,0,0,1
ZVWvfSjKkgg@ya.ru,1,3,1,1
bCSAMDUKgDdx@mail.ru,1,1,0,1
ceuNmV@mail.ru,1,1,3,0
dGuVCjzVQ@gmail.com,1,1,0,1
dIPfBj@gmail.com,1,0,0,0
dneWuEkKB@gmail.com,0,0,1,1
fWUIvoaKzELMA@gmail.com,0,2,1,0
kScSUEdbUWv@mail.ru,2,0,0,0
lPdtrnuq@gmail.com,1,0,0,0
mFCikwuT@ya.ru,1,1,0,0
mxzOfPcPy@gmail.com,0,2,1,0
nrTyrKrzk@ya.ru,0,0,0,1
oZfEirXmvYI@mail.ru,2,0,2,0
peSqLCsJ@ya.ru,0,0,2,0
qnMUtKKyQnHWE@gmail.com,0,1,0,1
reMvnpyac@gmail.com,1,0,1,1
rlAfbfbqhbfLz@gmail.com,0,0,1,0
vDnqOlKpNHzYQ@mail.ru,0,1,0,0
vlMBjAG@ya.ru,1,3,0,0
wlQvxaZEl@gmail.com,0,0,1,1
wtwGqhz@gmail.com,1,2,0,1
xSihUcTBI@ya.ru,1,0,0,1
