email,create_count,delete_count,read_count,update_count
ASgBJgzpZ@gmail.com,0,0,1,0
DAyCRBGLXvcxn@ya.ru,1,0,0,0
GMbKMLqgg@mail.ru,0,1,0,1
HJPGbbfgmG@mail.ru,2,0,0,0
HQltxMUxZicHTn@gmail.com,1,0,0,1
HaqMwydQvRM@ya.ru,0,2,0,0
HwNTLMUJFI@gmail.com,1,0,0,0
IVUiUo@gmail.com,1,0,0,0
MiPjN@mail.ru,2,0,2,0
MtiGsnBcMppNbg@mail.ru,1,0,0,0
NNDRekyHDorkyX@gmail.com,0,1,0,1
NZhYIDNgTUst@ya.ru,0,0,0,1
OfpqfmZTqq@mail.ru,0,0,1,0
PgAScW@gmail.com,3,0,0,0
PwjeZmgKphlpw@ya.ru,1,1,1,0
QGXZG@ya.ru,1,0,0,0
RTXdPxxLuerMRD@ya.ru,1,0,0,0
TodRvU@ya.ru,1,1,0,0
UiVwWpeHVFbWNA@ya.ru,1,0,0,0
VSyBdkkTOnXuCV@ya.ru,0,1,0,1
VUFsBayp@gmail.com,0,0,2,1
WAYVrrT@mail.ru,0,1,0,1
ZVWvfSjKkgg@ya.ru,1,1,0,1
bCSAMDUKgDdx@mail.ru,0,0,1,0
bkLAzb@mail.ru,1,0,0,0
ceuNmV@mail.ru,1,0,0,0
dGuVCjzVQ@gmail.com,0,1,0,2
dIPfBj@gmail.com,0,1,0,0
dneWuEkKB@gmail.com,1,1,0,1
fWUIvoaKzELMA@gmail.com,1,1,1,0
kGpAHxRVWXVUEd@mail.ru,2,1,1,0
kScSUEdbUWv@mail.ru,0,1,2,1
lPdtrnuq@gmail.com,1,1,0,0
mFCikwuT@ya.ru,0,1,0,3
mxzOfPcPy@gmail.com,1,0,0,1
nrTyrKrzk@ya.ru,1,0,0,1
pQKlFEG@gmail.com,1,0,0,0
peSqLCsJ@ya.ru,0,2,0,1
qnMUtKKyQnHWE@gmail.com,2,0,0,1
reMvnpyac@gmail.com,1,2,0,0
rlAfbfbqhbfLz@gmail.com,2,1,0,0
vDnqOlKpNHzYQ@mail.ru,0,0,1,1
vlMBjAG@ya.ru,1,0,0,0
wlQvxaZEl@gmail.com,0,1,0,1
wtwGqhz@gmail.com,1,2,0,0
xSihUcTBI@ya.ru,0,1,1,0
zTtICQ@ya.ru,1,2,0,1
