email,create_count,delete_count,read_count,update_count
ASgBJgzpZ@gmail.com,0,0,0,1
GMbKMLqgg@mail.ru,0,0,1,0
HJPGbbfgmG@mail.ru,1,0,0,2
HQltxMUxZicHTn@gmail.com,1,1,0,0
HaqMwydQvRM@ya.ru,0,1,0,0
IVUiUo@gmail.com,0,1,2,0
MiPjN@mail.ru,2,1,1,1
MtiGsnBcMppNbg@mail.ru,0,1,0,0
NNDRekyHDorkyX@gmail.com,0,0,0,1
NZhYIDNgTUst@ya.ru,0,0,0,1
PgAScW@gmail.com,0,1,1,0
PwjeZmgKphlpw@ya.ru,0,0,1,0
QGXZG@ya.ru,0,1,0,1
TodRvU@ya.ru,1,1,0,1
UiVwWpeHVFbWNA@ya.ru,1,1,1,0
VSyBdkkTOnXuCV@ya.ru,0,2,0,0
VUFsBayp@gmail.com,3,1,1,0
WAYVrrT@mail.ru,0,3,0,0
ZVWvfSjKkgg@ya.ru,0,1,0,1
bCSAMDUKgDdx@mail.ru,0,0,0,1
bkLAzb@mail.ru,0,0,0,1
ceuNmV@mail.ru,0,1,2,1
dGuVCjzVQ@gmail.com,0,1,0,0
dIPfBj@gmail.com,0,3,0,0
dneWuEkKB@gmail.com,2,0,0,0
fWUIvoaKzELMA@gmail.com,0,1,0,1
kGpAHxRVWXVUEd@mail.ru,1,0,0,0
kScSUEdbUWv@mail.ru,0,0,1,1
mFCikwuT@ya.ru,0,1,1,0
nrTyrKrzk@ya.ru,0,1,1,1
oZfEirXmvYI@mail.ru,0,0,0,2
pQKlFEG@gmail.com,0,0,2,1
peSqLCsJ@ya.ru,1,0,0,2
qnMUtKKyQnHWE@gmail.com,0,1,3,1
reMvnpyac@gmail.com,0,2,3,0
rlAfbfbqhbfLz@gmail.com,0,1,0,1
tgnhihUWUkb@ya.ru,0,0,2,0
vDnqOlKpNHzYQ@mail.ru,0,0,0,3
vlMBjAG@ya.ru,0,0,0,2
wlQvxaZEl@gmail.com,1,0,1,1
wtwGqhz@gmail.com,0,0,2,0
xSihUcTBI@ya.ru,0,0,1,1
zTtICQ@ya.ru,0,1,1,0
