email,create_count,delete_count,read_count,update_count
ASgBJgzpZ@gmail.com,0,2,1,0
DAyCRBGLXvcxn@ya.ru,0,1,1,1
GMbKMLqgg@mail.ru,0,0,2,0
HQltxMUxZicHTn@gmail.com,1,0,1,0
HaqMwydQvRM@ya.ru,2,0,0,1
HwNTLMUJFI@gmail.com,1,0,0,0
MiPjN@mail.ru,1,0,0,0
MtiGsnBcMppNbg@mail.ru,1,1,0,0
NNDRekyHDorkyX@gmail.com,1,0,1,1
NZhYIDNgTUst@ya.ru,1,1,0,0
OfpqfmZTqq@mail.ru,0,3,1,0
QGXZG@ya.ru,0,0,1,1
RTXdPxxLuerMRD@ya.ru,0,1,1,0
UiVwWpeHVFbWNA@ya.ru,0,0,1,0
VSyBdkkTOnXuCV@ya.ru,1,1,0,2
VUFsBayp@gmail.com,1,1,0,0
WAYVrrT@mail.ru,1,1,1,0
ZVWvfSjKkgg@ya.ru,0,0,1,1
bCSAMDUKgDdx@mail.ru,0,1,0,2
bkLAzb@mail.ru,1,0,0,0
ceuNmV@mail.ru,1,0,0,2
dGuVCjzVQ@gmail.com,0,2,1,1
dIPfBj@gmail.com,0,0,0,1
dneWuEkKB@gmail.com,3,2,0,0
fWUIvoaKzELMA@gmail.com,2,1,0,0
kScSUEdbUWv@mail.ru,0,0,0,1
lPdtrnuq@gmail.com,0,1,1,0
mxzOfPcPy@gmail.com,0,1,0,0
nrTyrKrzk@ya.ru,0,0,0,1
oZfEirXmvYI@mail.ru,1,1,0,0
pQKlFEG@gmail.com,2,1,0,0
peSqLCsJ@ya.ru,2,0,0,1
qnMUtKKyQnHWE@gmail.com,2,1,0,0
reMvnpyac@gmail.com,1,1,0,1
rlAfbfbqhbfLz@gmail.com,0,2,0,0
tgnhihUWUkb@ya.ru,3,0,0,0
updRM@ya.ru,0,3,0,1
vDnqOlKpNHzYQ@mail.ru,1,0,1,0
vlMBjAG@ya.ru,0,1,0,0
wtwGqhz@gmail.com,1,1,0,1
xSihUcTBI@ya.ru,1,0,0,0
zTtICQ@ya.ru,2,1,0,0
