email,create_count,delete_count,read_count,update_count
ASgBJgzpZ@gmail.com,0,1,0,0
DAyCRBGLXvcxn@ya.ru,0,0,0,3
GMbKMLqgg@mail.ru,0,2,0,0
HJPGbbfgmG@mail.ru,2,1,0,0
HQltxMUxZicHTn@gmail.com,1,0,2,0
HaqMwydQvRM@ya.ru,1,0,1,2
HwNTLMUJFI@gmail.com,0,0,0,1
IVUiUo@gmail.com,0,1,0,0
MiPjN@mail.ru,1,0,0,0
MtiGsnBcMppNbg@mail.ru,1,0,0,0
NNDRekyHDorkyX@gmail.com,1,1,1,0
PgAScW@gmail.com,0,1,0,0
PwjeZmgKphlpw@ya.ru,0,0,1,1
QGXZG@ya.ru,1,1,1,0
RTXdPxxLuerMRD@ya.ru,0,0,0,2
TodRvU@ya.ru,2,0,0,1
UiVwWpeHVFbWNA@ya.ru,0,0,1,1
VUFsBayp@gmail.com,0,0,0,1
WAYVrrT@mail.ru,0,1,1,0
ZVWvfSjKkgg@ya.ru,1,0,0,0
bCSAMDUKgDdx@mail.ru,0,3,1,0
bkLAzb@mail.ru,0,2,0,1
ceuNmV@mail.ru,1,0,1,0
dGuVCjzVQ@gmail.com,3,0,1,0
dneWuEkKB@gmail.com,0,0,1,0
fWUIvoaKzELMA@gmail.com,1,0,0,0
kGpAHxRVWXVUEd@mail.ru,0,1,0,0
kScSUEdbUWv@mail.ru,1,3,0,0
lPdtrnuq@gmail.com,2,1,1,0
mFCikwuT@ya.ru,0,0,0,2
mxzOfPcPy@gmail.com,1,1,0,1
nrTyrKrzk@ya.ru,0,0,0,3
oZfEirXmvYI@mail.ru,0,1,0,0
pQKlFEG@gmail.com,1,1,0,1
peSqLCsJ@ya.ru,0,1,1,0
qnMUtKKyQnHWE@gmail.com,0,1,1,0
reMvnpyac@gmail.com,1,2,0,1
tgnhihUWUkb@ya.ru,0,1,0,0
updRM@ya.ru,0,0,0,1
vDnqOlKpNHzYQ@mail.ru,1,1,0,0
vlMBjAG@ya.ru,1,0,2,0
wtwGqhz@gmail.com,1,0,2,0
xSihUcTBI@ya.ru,0,0,1,0
zTtICQ@ya.ru,1,2,1,1
